,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
505,Carlos Soler,MID,Valencia,15,29,6,1,0,1,0,0,0,0,0,0,3,0
506,Manu Vallejo,FWD,Girona,10,29,7,0,1,0,0,0,0,0,0,0,0,0
507,Marcos Andre,FWD,Valencia,19,29,19,1,0,0,2,1,0,0,0,0,1,0
508,Samuel Lino,FWD,Valencia,68,29,55,2,1,4,3,0,0,0,0,0,5,0
509,Hugo Duro,FWD,Valencia,28,29,31,1,0,0,5,0,0,1,0,0,0,0
510,Maximiliano Gomez,FWD,Valencia,3,29,3,0,0,0,0,0,0,0,0,0,0,0
511,Pepe Reina,GK,Villareal,49,29,28,0,0,4,2,0,0,0,8,0,3,4
512,Geronimo Rulli,GK,Villareal,80,29,28,0,0,7,1,0,0,0,12,0,15,2
513,Sergio Carreira,DEF,Villareal,0,29,0,0,0,0,0,0,0,0,0,0,0,0
514,Adrian de la Fuente,DEF,Villareal,0,29,0,0,0,0,0,0,0,0,0,0,0,0
515,Kiko Femenia,DEF,Villareal,36,29,27,0,0,3,0,0,0,0,0,0,0,3
516,Alfonso Pedraza,DEF,Villareal,62,29,31,0,2,7,3,0,0,0,0,0,2,2
517,Jorge Cuenca,DEF,Villareal,0,29,0,0,0,0,0,0,0,0,0,0,0,0
518,Alberto Moreno,DEF,Villareal,26,29,24,0,0,2,5,0,0,0,0,0,0,1
519,Raul Albiol,DEF,Villareal,73,29,46,0,0,8,6,0,0,0,0,0,5,4
520,Pervis Estupinan,DEF,Villareal,0,29,0,0,0,0,0,0,0,0,0,0,0,0
521,Juan Foyth,DEF,Villareal,62,29,31,1,0,6,5,0,0,0,0,0,9,3
522,Pau Torres,DEF,Villareal,83,29,52,0,0,10,9,0,1,0,0,0,7,5
523,Aissa Mandi,DEF,Villareal,30,29,20,0,0,3,0,0,0,0,0,0,0,2
524,Alejandro Baena,MID,Villareal,66,29,39,4,2,5,10,1,0,0,0,0,9,0
525,Manuel Morlanes,MID,Villareal,0,29,0,0,0,0,0,0,0,0,0,0,0,0
526,Javier Ontiveros,MID,Villareal,0,29,0,0,0,0,0,0,0,0,0,0,0,0
527,Nicolas Jackson,FWD,Villareal,39,29,23,3,2,1,1,1,0,0,0,0,2,0
528,Nikita Iosifov,MID,Villareal,0,29,0,0,0,0,0,0,0,0,0,0,0,0
529,Manu Trigueros,MID,Villareal,18,29,21,0,0,2,2,1,0,0,0,0,0,0
530,Francis Coquelin,MID,Villareal,31,29,22,1,0,3,2,0,0,0,0,0,3,0
531,Etienne Capoue,MID,Villareal,48,29,37,1,0,7,1,0,0,0,0,0,0,0
532,Yeremy Pino,MID,Villareal,77,29,46,3,3,7,5,0,0,0,0,0,5,0
533,Dani Parejo,MID,Villareal,108,29,58,2,3,11,3,0,0,0,0,0,23,0
534,Samuel Chukwueze,MID,Villareal,103,29,45,6,5,5,1,0,0,0,0,0,9,0
