,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
27,Asier Villalibre,FWD,Athletic Club,1,1,1,0,0,0,0,0,0,0,0,0,0,0
28,Oihan Sancet,FWD,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
29,Raul Garcia,FWD,Athletic Club,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30,Nico Williams,FWD,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
31,Inaki Williams,FWD,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
32,Jan Oblak,GK,Atletico Madrid,5,1,2,0,0,1,1,0,0,0,0,0,0,0
33,Antonio Gomis,GK,Atletico Madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,Ivo Grbic,GK,Atletico Madrid,0,1,1,0,0,0,1,0,0,0,0,0,0,0
35,Mario Hermoso,DEF,Atletico Madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Stefan Savic,DEF,Atletico Madrid,6,1,2,0,0,1,0,0,0,0,0,0,0,0
37,Felipe,DEF,Atletico Madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Reinildo,DEF,Atletico Madrid,9,1,2,0,0,1,0,0,0,0,0,0,3,0
39,Santiago Arias,DEF,Atletico Madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Renan Lodi,DEF,Atletico Madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Jose Gimenez,DEF,Atletico Madrid,5,1,2,0,0,1,1,0,0,0,0,0,0,0
42,Daniel Wass,MID,Atletico Madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,Geoffrey Kondogbia,MID,Atletico Madrid,5,1,2,0,0,1,0,0,0,0,0,0,2,0
